stem,rep,n,caption,max_gap,first_k,smer_word,lime_word,zs,zl
n07718472_4217,3,8,hand holds fresh green cucumber from garden vine,0.0027928948,4,holds,vine,-0.06850129,-0.105167985
n07718472_3752,2,9,cucumber shaped like a snake with red bead eyes,0.00278306,7,with,red,-0.48467165,-0.509295
n07718472_3659,0,7,fresh green cucumber on white cutting board,0.0026636124,5,board,green,-1.1878121,-1.2158811
n07718472_18871,4,7,fresh green cucumbers with leaf on stone,0.0025792718,4,with,on,-0.48467165,-0.51884747
n07718472_6334,2,10,large green cucumber growing on vine with leaves and marigolds,0.0025715828,8,green,large,-1.2768623,-1.3014021
n07718472_14217,4,7,green zucchini nestled among large leafy vines,0.0025632977,2,large,green,1.2421247,1.1877705
n07718472_22508,4,7,fresh green cucumbers with dill on white,0.0025478601,4,with,on,-0.48467165,-0.51884747
n07718472_4138,2,7,two whole cucumbers several slices white background,0.0024214387,6,two,white,-1.6333623,-1.6469785
n07716358_3502,0,8,golden potato cakes with zucchini on floral plate,0.0023628473,5,on,with,0.51884747,0.48467165
n07718472_22526,0,6,fresh cucumbers piled in red basket,0.0022025108,3,red,basket,-0.11256996,-0.13908902
n07716358_15025,1,7,large zucchini on counter bagged nearby bowl,0.002180159,5,bowl,nearby,0.0043875277,-0.018450677
n07718472_567,2,10,fresh salad with cucumbers radishes and greens in wooden bowl,0.0021741986,8,with,greens,-0.84395474,-0.8622062
n07718472_12919,1,7,chopped cucumbers with salt in metal bowl,0.0019962192,5,with,in,-0.48467165,-0.50110036
n07718472_12919,4,7,sliced cucumbers with salt in metal bowl,0.0019962192,5,with,in,-0.48467165,-0.50110036
n07716358_7247,2,10,fresh zucchinis nestled among lush green leaves and yellow flower,0.001969874,7,and,lush,-0.12833393,-0.16724135
n07718472_11396,1,6,fresh vegetables in a woven basket,0.0019286275,4,in,a,-0.2334702,-0.24919496
n07718472_27,4,8,hands using peeler to remove skin from cucumber,0.0019085407,5,hands,peeler,0.41920948,0.39530754
n07718472_21735,1,9,large green zucchini on wooden board with tape measure,0.0019073188,2,large,green,1.2421247,1.1877705
n07718472_21591,4,11,fresh cucumbers piled in wooden crate chalkboard sign says cucumbers 50¢,0.0018855333,1,cucumbers,cucumbers,4.64758,4.64758
n07716358_11807,2,8,halved zucchinis and yellow squash on paper towel,0.0017476678,2,yellow,squash,2.6201992,2.5767007
n07716358_10640,4,6,fresh green zucchinis piled together glistening,0.0016469657,2,glistening,green,1.2172134,1.1877705
n07716358_3544,3,6,zucchini plant with wilting yellow flower,0.0016397238,4,flower,plant,1.6861117,1.6714549
n07716358_7574,0,9,dark green zucchini growing on vine with large leaves,0.0015601516,4,on,with,0.51884747,0.48467165
n07718472_6331,0,8,cucumber plant with fruit flowers and tomato nearby,0.0015599132,5,and,flowers,-0.028762504,-0.047668576
n07716358_10507,4,7,man sipping drink holding zucchini in kitchen,0.0014411509,2,holding,in,0.35178125,0.29922432
n07718472_457,0,8,curved green cucumber on speckled surface with sponge,0.0014401674,3,speckled,surface,0.104527116,0.075206265
n07718472_334,1,8,curved green zucchini with stem resting on surface,0.0014337599,3,on,with,0.51884747,0.48467165
n07716358_3419,3,8,zucchini noodles sausages greens on blue patterned plate,0.0014129877,3,blue,on,0.51933634,0.47835964
n07716358_7097,4,8,zucchini and black bean can on red couch,0.0013372898,2,on,black,0.4871721,0.43172857
n07716358_1882,2,7,fresh zucchinis and yellow squash at market,0.0013355017,4,and,at,-0.16209689,-0.19688107
n07716358_2262,1,8,zucchini and onion pizza with herbs on crust,0.0012836456,3,on,with,0.51884747,0.48467165
n07716358_12087,2,7,fresh zucchini with yellow flowers on leaf,0.0012251735,5,flowers,on,0.5253975,0.51209533
n07716358_10021,3,6,grilled zucchini with herbs and garlic,0.0012003779,3,grilled,garlic,0.19832295,0.17951371
n07716358_7555,2,9,hands peeling cucumber with vegetable peeler on cutting board,0.0011942387,4,hands,peeler,0.41920948,0.39530754
n07718472_886,4,9,man shopping at outdoor vegetable market under blue shade,0.0011827946,6,man,vegetable,-0.19034016,-0.20453353
n07716358_23104,3,9,fresh zucchinis growing with green leaves and yellow flowers,0.0011477768,6,flowers,and,0.047668576,0.028762504
n07716358_9749,2,6,fresh green zucchinis growing on vine,0.0011360645,4,growing,vine,0.07403206,0.060057044
n07718472_1428,4,7,fresh cucumbers knife slices on wooden surface,0.0011005402,3,knife,slices,0.6221826,0.6041651
n07716358_11176,2,7,large green zucchinis resting on dry soil,0.0010538101,2,soil,green,1.2119427,1.1905065
n07716358_17672,3,7,child holding giant zucchini on head smiling,0.0010390878,3,on,holding,0.51884747,0.5011611
n07716358_15355,3,6,woman smiling holding two large zucchinis,0.001024425,3,woman,large,1.410343,1.3980411
n07718472_2309,4,7,fresh green zucchinis arranged neatly in rows,0.0009956062,4,rows,neatly,-0.9830132,-1.0092125
n07716358_10673,3,7,fresh zucchinis resting on wooden surface outdoors,0.0009482503,3,on,resting,0.47835964,0.46081653
n07716358_8973,3,6,three green zucchinis growing on vine,0.00094524026,3,three,on,0.4899823,0.47835964
n07716358_15244,0,7,zucchini broccoli chickpeas onions sautéed in pan,0.0009152293,5,chickpeas,broccoli,-0.4967317,-0.50855243
n07718472_650,4,7,green cucumber growing on vine leafy plant,0.0008533001,3,vine,growing,-0.060057044,-0.07403206
n07716358_6824,4,7,zucchini dressed as baby held between feet,0.0008338988,3,as,held,0.40373003,0.38748205
n07718472_224,4,7,peeling cucumber with knife on wooden board,0.0008289218,2,knife,peeling,0.4584881,0.441888
n07718472_3618,2,9,artistic plate with cucumber carrot stars and beet rose,0.0007837415,6,plate,artistic,-0.441674,-0.45131847
n07716358_12312,1,8,fresh zucchinis resting on checkered cloth in grass,0.0007440448,4,in,resting,0.50110036,0.48225158
n07716358_2690,1,9,vibrant green plant with emerging buds and thick stems,0.0007407069,3,and,stems,-0.16098511,-0.17988598
n07716358_12331,2,8,sliced zucchini in white bowl on red cloth,0.00073328614,3,on,in,0.51884747,0.50110036
n07716358_20199,1,7,green zucchinis grow on vine with leaves,0.00073069334,4,grow,on,0.5978631,0.5885087
n07716358_20411,2,7,fresh zucchini for sale at market stand,0.0007055998,6,sale,market,-2.1259747,-2.136948
n07718472_17416,3,9,cucumber growing on vine supported by stake and trellis,0.00069475174,4,vine,growing,-0.060057044,-0.07403206
n07716358_1771,3,7,fresh green zucchinis piled in cardboard box,0.00066137314,4,box,in,0.24507192,0.2334702
n07718472_18937,1,7,colorful plate with toast veggies and bacon,0.00057309866,3,veggies,toast,0.5555504,0.54570127
n07716358_18648,3,9,three green zucchinis on light background labeled de courgette,0.00053575635,4,three,on,0.4899823,0.47835964
n07718472_914,0,9,green cucumber growing with yellow flower on leafy vine,0.0005222559,3,vine,growing,-0.060057044,-0.07403206
n07718472_16461,0,6,fresh produce and jam on display,0.000485003,3,and,display,0.16209689,0.15618376
n07718472_9874,1,5,colorful chopped vegetables in close-up,0.00047385693,1,colorful,vegetables,1.3559899,1.3477964
n07716358_12331,0,8,sliced zucchini in white bowl on red surface,0.00047117472,4,red,in,0.509295,0.50110036
n07718472_12441,1,9,fresh zucchini nestled among green foliage and red-veined leaves,0.00032001734,4,among,red-veined,0.28718773,0.27862418
n07716358_21657,1,8,vibrant zucchini plant with blossoms and young fruits,0.00021499395,3,young,plant,1.7463266,1.741908
n07718472_22531,4,7,four fresh green cucumbers on white background,0.00015461445,4,on,four,-0.5885087,-0.5905609
n07718472_22059,3,7,four fresh green cucumbers on white surface,0.00015461445,4,on,four,-0.5885087,-0.5905609
n07716358_23846,1,8,fresh zucchini growing with flowers and green vines,0.00015115738,5,growing,and,0.16357356,0.16098511
n07718472_11220,1,8,tiny cucumber growing beside finger yellow flower below,0.00011950731,3,finger,tiny,-0.73181623,-0.73527515
n07716358_13570,1,9,grating zucchini on colorful plate with pink kitchen tools,0.00011527538,6,grating,kitchen,-0.6478053,-0.6510144
n07718472_3403,4,7,two green cucumbers one smooth one bumpy,0.0,3,one,one,-1.0061382,-1.0061382
n07716358_2068,4,10,two zucchinis one large and one small on tiled floor,0.0,5,one,one,0.6693177,0.6693177
n07716358_4376,1,8,fresh cherry tomatoes and zucchini vibrant and ripe,0.0,3,and,and,-0.16209689,-0.16209689
n07718472_19202,4,9,salad with cucumbers greens and bread topped with spread,0.0,7,with,with,-0.6100865,-0.6100865
n07718472_1821,4,10,two cucumbers one large one small with ruler on wood,0.0,5,one,one,-0.8988548,-0.8988548
n07718472_10894,0,10,two cucumbers one large one small with ruler on wood,0.0,5,one,one,-0.8988548,-0.8988548
