key,row,count,pairs
25,162,145,acousticguitar_violin:5|ambulance_firetruck:88|ant_bee:16|cucumber_zucchini:26|hotpot_vase:10
250-year-old,163,21,acousticguitar_violin:21
251,164,21,hotpot_vase:21
27,165,39,ambulance_firetruck:37|ant_bee:1|hotpot_vase:1
278,166,21,ambulance_firetruck:21
28,167,260,acousticguitar_violin:5|ambulance_firetruck:253|ant_bee:1|hotpot_vase:1
288,168,52,ambulance_firetruck:52
29,169,25,ambulance_firetruck:11|hotpot_vase:14
292,170,60,ambulance_firetruck:60
292.4,171,25,cucumber_zucchini:25
292.4g,172,8,cucumber_zucchini:8
29cm,173,13,hotpot_vase:13
2kg,174,2,hotpot_vase:2
2mm,175,20,ant_bee:20
3,176,567,acousticguitar_violin:23|ambulance_firetruck:474|ant_bee:32|cucumber_zucchini:22|hotpot_vase:16
3/25/89,177,26,acousticguitar_violin:26
30,178,100,acousticguitar_violin:7|ambulance_firetruck:76|ant_bee:6|cucumber_zucchini:8|hotpot_vase:3
302-21,179,8,ambulance_firetruck:8
3026,180,19,ambulance_firetruck:19
303,181,38,ambulance_firetruck:38
3060,182,40,ambulance_firetruck:40
308,183,36,ambulance_firetruck:36
30cm,184,3,hotpot_vase:3
312,185,56,ambulance_firetruck:56
315,186,31,ambulance_firetruck:31
3161,187,22,ambulance_firetruck:22
3181,188,56,ambulance_firetruck:56
32,189,56,ambulance_firetruck:37|hotpot_vase:19
32cm,190,2,hotpot_vase:2
33,191,54,ambulance_firetruck:54
3397,192,22,acousticguitar_violin:22
340,193,17,ambulance_firetruck:17
343,194,25,ambulance_firetruck:25
34a,195,28,ambulance_firetruck:28
34p,196,25,ambulance_firetruck:25
35,197,19,acousticguitar_violin:15|ambulance_firetruck:3|hotpot_vase:1
35cm,198,18,hotpot_vase:18
38,199,62,ambulance_firetruck:62
39,200,2,hotpot_vase:2
390,201,16,ambulance_firetruck:16
391,202,40,ambulance_firetruck:40
3d,203,115,acousticguitar_violin:35|ambulance_firetruck:7|ant_bee:42|hotpot_vase:31
3d-rendered,204,35,acousticguitar_violin:27|ant_bee:5|hotpot_vase:3
3mm,205,2,ant_bee:2
4,206,425,acousticguitar_violin:36|ambulance_firetruck:382|cucumber_zucchini:5|hotpot_vase:2
4.0,207,30,cucumber_zucchini:30
402-tn-gr,208,21,ambulance_firetruck:21
40cm,209,22,hotpot_vase:22
41,210,21,ambulance_firetruck:21
419,211,24,ambulance_firetruck:24
42,212,52,ambulance_firetruck:52
421,213,33,ambulance_firetruck:33
43,214,27,ambulance_firetruck:27
44,215,38,ambulance_firetruck:38
4407,216,11,ambulance_firetruck:11
441,217,35,ambulance_firetruck:35
45,218,76,ambulance_firetruck:76
46,219,38,ambulance_firetruck:38
461,220,15,ambulance_firetruck:15
473,221,29,ambulance_firetruck:29
48,222,43,acousticguitar_violin:4|ambulance_firetruck:37|cucumber_zucchini:1|hotpot_vase:1
48cm,223,3,hotpot_vase:3
48¢,224,18,cucumber_zucchini:18
4d,225,13,ambulance_firetruck:13
4th,226,9,ambulance_firetruck:9
5,227,335,acousticguitar_violin:22|ambulance_firetruck:151|ant_bee:2|cucumber_zucchini:41|hotpot_vase:119
50,228,104,acousticguitar_violin:16|ambulance_firetruck:30|cucumber_zucchini:43|hotpot_vase:15
500,229,56,ambulance_firetruck:56
504,230,28,ambulance_firetruck:28
50¢,231,67,cucumber_zucchini:67
51,232,33,ambulance_firetruck:33
537,233,21,ambulance_firetruck:21
543,234,22,ambulance_firetruck:22
55,235,48,ambulance_firetruck:48
555,236,33,ambulance_firetruck:33
56056,237,18,ambulance_firetruck:18
5d-11,238,2,ambulance_firetruck:2
6,239,211,acousticguitar_violin:26|ambulance_firetruck:172|cucumber_zucchini:13
60,240,10,ambulance_firetruck:10
601,241,39,ambulance_firetruck:39
61,242,83,ambulance_firetruck:83
63,243,23,ambulance_firetruck:23
6361,244,59,ambulance_firetruck:59
65,245,61,acousticguitar_violin:3|ambulance_firetruck:58
68,246,60,acousticguitar_violin:1|ambulance_firetruck:59
7,247,302,acousticguitar_violin:29|ambulance_firetruck:209|ant_bee:24|cucumber_zucchini:29|hotpot_vase:11
7-eleven,248,20,ambulance_firetruck:20
7.316,249,16,ambulance_firetruck:16
70,250,42,acousticguitar_violin:14|ambulance_firetruck:28
703,251,30,ambulance_firetruck:30
704,252,18,ambulance_firetruck:18
71-1,253,25,ambulance_firetruck:25
71⁄2,254,14,hotpot_vase:14
72,255,40,ambulance_firetruck:40
75¢,256,35,cucumber_zucchini:35
76,257,56,ambulance_firetruck:28|cucumber_zucchini:28
78,258,144,ambulance_firetruck:115|hotpot_vase:29
79,259,55,acousticguitar_violin:55
79¢,260,28,cucumber_zucchini:28
8,261,127,ambulance_firetruck:81|ant_bee:31|cucumber_zucchini:8|hotpot_vase:7
800x,262,23,ant_bee:23
81,263,62,ambulance_firetruck:62
81124,264,25,hotpot_vase:25
81125,265,25,hotpot_vase:25
815,266,15,ambulance_firetruck:15
83,267,70,ambulance_firetruck:49|hotpot_vase:21
83012-83015,268,14,hotpot_vase:14
83064,269,20,hotpot_vase:20
83064-83066,270,3,hotpot_vase:3
83065,271,20,hotpot_vase:20
83066,272,20,hotpot_vase:20
83070,273,25,hotpot_vase:25
83071,274,25,hotpot_vase:25
834,275,12,ambulance_firetruck:12
835,276,14,ambulance_firetruck:14
87,277,36,acousticguitar_violin:35|ambulance_firetruck:1
870,278,8,acousticguitar_violin:8
88,279,48,ambulance_firetruck:48
9,280,138,acousticguitar_violin:2|ambulance_firetruck:114|cucumber_zucchini:15|hotpot_vase:7
9-1-1,281,113,ambulance_firetruck:113
91,282,27,ambulance_firetruck:27
911,283,284,ambulance_firetruck:284
9170,284,20,ambulance_firetruck:20
92,285,22,ambulance_firetruck:22
928,286,27,acousticguitar_violin:27
92a,287,24,ambulance_firetruck:24
93,288,38,ambulance_firetruck:38
94,289,35,ambulance_firetruck:35
941,290,28,ambulance_firetruck:28
965,291,11,ambulance_firetruck:11
99,292,5,ambulance_firetruck:1|cucumber_zucchini:4
997,293,36,ambulance_firetruck:36
999,294,11,ambulance_firetruck:11
99¢,295,52,cucumber_zucchini:52
99¢/lb,296,2,cucumber_zucchini:2
a,297,667824,acousticguitar_violin:175384|ambulance_firetruck:120096|ant_bee:149722|cucumber_zucchini:96808|hotpot_vase:125814
a+,298,18,ambulance_firetruck:18
a+i,299,17,ambulance_firetruck:17
a-00716,300,31,hotpot_vase:31
a-1,301,38,ambulance_firetruck:38
a-2,302,44,ambulance_firetruck:44
a-frame,303,90,acousticguitar_violin:90
a.a.k,304,23,acousticguitar_violin:23
a.c.t,305,22,ambulance_firetruck:22
a.m,306,14,ambulance_firetruck:14
a.p.f.d,307,22,ambulance_firetruck:22
a.s.a.d,308,52,ambulance_firetruck:52
a.v.a.s.v,309,42,ambulance_firetruck:42
a12,310,31,ambulance_firetruck:31
a141,311,28,ambulance_firetruck:28
a151,312,31,ambulance_firetruck:31
a68,313,15,ambulance_firetruck:15
aa,314,28,acousticguitar_violin:8|ambulance_firetruck:20
aa-93,315,9,ambulance_firetruck:9
aaa,316,32,acousticguitar_violin:7|ambulance_firetruck:25
aaa-grade,317,21,acousticguitar_violin:21
aaron,318,32,acousticguitar_violin:28|ambulance_firetruck:4
abalone,319,495,acousticguitar_violin:493|hotpot_vase:2
abandoned,320,453,acousticguitar_violin:8|ambulance_firetruck:441|ant_bee:4
abbott,321,34,ambulance_firetruck:34
abdomen,322,3648,ant_bee:3648
abdomens,323,407,ant_bee:407
abi,324,30,ambulance_firetruck:30
ablaze,325,7,ant_bee:7
able,326,32,ambulance_firetruck:32
aboard,327,87,ambulance_firetruck:87
abound,328,5,cucumber_zucchini:4|hotpot_vase:1
about,329,179,acousticguitar_violin:9|ambulance_firetruck:20|ant_bee:14|cucumber_zucchini:87|hotpot_vase:49
above,330,3173,acousticguitar_violin:747|ambulance_firetruck:816|ant_bee:869|cucumber_zucchini:453|hotpot_vase:288
absorbed,331,51,acousticguitar_violin:50|ant_bee:1
abstract,332,1414,acousticguitar_violin:302|ambulance_firetruck:13|ant_bee:32|cucumber_zucchini:13|hotpot_vase:1054
abstract-patterned,333,1,hotpot_vase:1
abstraction,334,8,acousticguitar_violin:7|ant_bee:1
abstractly,335,1,hotpot_vase:1
abundance,336,751,cucumber_zucchini:748|hotpot_vase:3
abundant,337,868,cucumber_zucchini:860|hotpot_vase:8
abundantly,338,173,cucumber_zucchini:172|hotpot_vase:1
ac/dc,339,33,acousticguitar_violin:33
acacia,340,43,ant_bee:2|hotpot_vase:41
accent,341,101,acousticguitar_violin:26|ambulance_firetruck:9|cucumber_zucchini:7|hotpot_vase:59
accented,342,645,acousticguitar_violin:56|ambulance_firetruck:8|ant_bee:9|cucumber_zucchini:34|hotpot_vase:538
accents,343,3828,acousticguitar_violin:309|ambulance_firetruck:1933|ant_bee:64|cucumber_zucchini:67|hotpot_vase:1455
accentuates,344,72,acousticguitar_violin:57|ant_bee:6|hotpot_vase:9
accentuating,345,80,acousticguitar_violin:51|ant_bee:17|cucumber_zucchini:4|hotpot_vase:8
access,346,246,acousticguitar_violin:84|ambulance_firetruck:157|ant_bee:2|cucumber_zucchini:3
accesses,347,3,ambulance_firetruck:3
accessibility,348,24,ambulance_firetruck:24
accessible,349,23,acousticguitar_violin:1|ambulance_firetruck:22
accessing,350,32,ambulance_firetruck:32
accessories,351,908,acousticguitar_violin:886|ambulance_firetruck:8|cucumber_zucchini:6|hotpot_vase:8
accessory,352,35,acousticguitar_violin:34|hotpot_vase:1
accident,353,273,ambulance_firetruck:272|ant_bee:1
accident-damaged,354,1,ambulance_firetruck:1
accompanied,355,2307,acousticguitar_violin:928|ambulance_firetruck:62|ant_bee:32|cucumber_zucchini:575|hotpot_vase:710
accompanies,356,78,acousticguitar_violin:68|cucumber_zucchini:4|hotpot_vase:6
accompaniment,357,13,acousticguitar_violin:13
accompaniments,358,18,cucumber_zucchini:2|hotpot_vase:16
accompanist,359,18,acousticguitar_violin:18
accompanying,360,11,acousticguitar_violin:5|hotpot_vase:6
accordion,361,172,acousticguitar_violin:172
accurate,362,1,acousticguitar_violin:1
acoustic,363,4955,acousticguitar_violin:4955
acoustic-electric,364,454,acousticguitar_violin:454
acoustic-lean,365,18,acousticguitar_violin:18
acoustic-stand,366,12,acousticguitar_violin:12
acoustically,367,1,acousticguitar_violin:1
acp-122,368,21,ambulance_firetruck:21
across,369,8568,acousticguitar_violin:1596|ambulance_firetruck:415|ant_bee:6142|cucumber_zucchini:283|hotpot_vase:132
acrylic,370,48,acousticguitar_violin:20|ant_bee:5|hotpot_vase:23
action,371,946,acousticguitar_violin:46|ambulance_firetruck:223|ant_bee:628|cucumber_zucchini:14|hotpot_vase:35
action-figure,372,1,acousticguitar_violin:1
active,373,847,acousticguitar_violin:22|ambulance_firetruck:288|ant_bee:395|cucumber_zucchini:50|hotpot_vase:92
actively,374,999,acousticguitar_violin:3|ambulance_firetruck:22|ant_bee:962|cucumber_zucchini:1|hotpot_vase:11
activist,375,6,ambulance_firetruck:6
activity,376,1526,acousticguitar_violin:8|ambulance_firetruck:124|ant_bee:1353|cucumber_zucchini:34|hotpot_vase:7
actually,377,12,acousticguitar_violin:1|ant_bee:9|hotpot_vase:2
ad,378,53,acousticguitar_violin:10|ambulance_firetruck:35|cucumber_zucchini:7|hotpot_vase:1
ad870,379,24,acousticguitar_violin:24
adams,380,40,acousticguitar_violin:1|ambulance_firetruck:33|hotpot_vase:6
add,381,796,acousticguitar_violin:158|ambulance_firetruck:63|ant_bee:119|cucumber_zucchini:229|hotpot_vase:227
added,382,98,ambulance_firetruck:1|ant_bee:1|cucumber_zucchini:7|hotpot_vase:89
adding,383,1700,acousticguitar_violin:335|ambulance_firetruck:109|ant_bee:424|cucumber_zucchini:339|hotpot_vase:493
addition,384,8,ant_bee:1|cucumber_zucchini:3|hotpot_vase:4
adds,385,794,acousticguitar_violin:239|ambulance_firetruck:20|ant_bee:81|cucumber_zucchini:242|hotpot_vase:212
adhesive,386,50,ant_bee:12|hotpot_vase:38
adjacent,387,47,acousticguitar_violin:7|ambulance_firetruck:27|ant_bee:9|cucumber_zucchini:3|hotpot_vase:1
adjusted,388,10,acousticguitar_violin:10
adjusting,389,67,acousticguitar_violin:55|ambulance_firetruck:7|ant_bee:3|hotpot_vase:2
adjusts,390,74,acousticguitar_violin:51|ambulance_firetruck:22|hotpot_vase:1
admiration,391,15,ambulance_firetruck:15
admire,392,17,ambulance_firetruck:14|cucumber_zucchini:3
admires,393,4,ambulance_firetruck:3|hotpot_vase:1
admiring,394,42,acousticguitar_violin:3|ambulance_firetruck:38|hotpot_vase:1
adobe,395,11,ambulance_firetruck:11
adobe-style,396,22,ambulance_firetruck:22
adom,397,43,ambulance_firetruck:43
adopt,398,17,ambulance_firetruck:17
adoption,399,41,ambulance_firetruck:41
adorable,400,20,acousticguitar_violin:4|cucumber_zucchini:14|hotpot_vase:2
adorn,401,535,acousticguitar_violin:174|ambulance_firetruck:151|ant_bee:13|cucumber_zucchini:28|hotpot_vase:169
adorned,402,2813,acousticguitar_violin:684|ambulance_firetruck:421|ant_bee:86|cucumber_zucchini:112|hotpot_vase:1510
adorning,403,18,acousticguitar_violin:4|ambulance_firetruck:5|cucumber_zucchini:2|hotpot_vase:7
adornment,404,12,hotpot_vase:12
adorns,405,378,acousticguitar_violin:139|ambulance_firetruck:84|ant_bee:21|cucumber_zucchini:40|hotpot_vase:94
adotta,406,10,ambulance_firetruck:10
adriano,407,22,ambulance_firetruck:22
adult,408,356,acousticguitar_violin:160|ambulance_firetruck:154|cucumber_zucchini:42
adults,409,280,acousticguitar_violin:108|ambulance_firetruck:172
advanced,410,154,acousticguitar_violin:20|ambulance_firetruck:131|ant_bee:3
advancing,411,6,ambulance_firetruck:6
adventure,412,15,acousticguitar_violin:1|ambulance_firetruck:13|hotpot_vase:1
advertisement,413,32,acousticguitar_violin:1|ambulance_firetruck:29|cucumber_zucchini:1|hotpot_vase:1
advertising,414,95,acousticguitar_violin:33|ambulance_firetruck:35|cucumber_zucchini:22|hotpot_vase:5
aerial,415,871,ambulance_firetruck:870|ant_bee:1
aerospace,416,21,ambulance_firetruck:21
aesthetic,417,489,acousticguitar_violin:195|ambulance_firetruck:8|ant_bee:6|cucumber_zucchini:17|hotpot_vase:263
africa,418,35,ambulance_firetruck:35
african,419,65,acousticguitar_violin:1|ambulance_firetruck:6|cucumber_zucchini:1|hotpot_vase:57
after,420,153,acousticguitar_violin:26|ambulance_firetruck:101|ant_bee:12|cucumber_zucchini:7|hotpot_vase:7
aftermath,421,25,ambulance_firetruck:14|ant_bee:9|hotpot_vase:2
against,422,58670,acousticguitar_violin:23139|ambulance_firetruck:1343|ant_bee:19611|cucumber_zucchini:3917|hotpot_vase:10660
agapanthus,423,46,ant_bee:46
agate,424,65,hotpot_vase:65
age,425,624,acousticguitar_violin:161|ambulance_firetruck:154|ant_bee:25|cucumber_zucchini:22|hotpot_vase:262
aged,426,925,acousticguitar_violin:676|ambulance_firetruck:35|ant_bee:63|cucumber_zucchini:5|hotpot_vase:146
agency,427,37,ambulance_firetruck:37
ages,428,40,acousticguitar_violin:34|ambulance_firetruck:5|cucumber_zucchini:1
aggressive,429,8,ant_bee:8
aging,430,31,acousticguitar_violin:12|ant_bee:5|cucumber_zucchini:11|hotpot_vase:3
ago,431,4,acousticguitar_violin:1|ambulance_firetruck:1|ant_bee:2
agricultural,432,30,ambulance_firetruck:16|ant_bee:1|cucumber_zucchini:13
ahead,433,238,acousticguitar_violin:6|ambulance_firetruck:230|ant_bee:1|cucumber_zucchini:1
ahrens-fox,434,33,ambulance_firetruck:33
aid,435,134,ambulance_firetruck:134
aiding,436,5,ambulance_firetruck:2|ant_bee:1|cucumber_zucchini:2
aiken,437,3,ambulance_firetruck:3
air,438,740,acousticguitar_violin:19|ambulance_firetruck:625|ant_bee:57|cucumber_zucchini:9|hotpot_vase:30
airborne,439,6,ambulance_firetruck:1|ant_bee:5
aircraft,440,149,ambulance_firetruck:149
airlock,441,26,cucumber_zucchini:26
airplane,442,82,ambulance_firetruck:79|ant_bee:1|cucumber_zucchini:2
airplane-themed,443,1,ant_bee:1
airport,444,476,ambulance_firetruck:437|ant_bee:39
airstrip,445,9,ambulance_firetruck:9
aisab,446,31,ambulance_firetruck:31
aisle,447,46,acousticguitar_violin:11|ambulance_firetruck:30|cucumber_zucchini:5
aisles,448,11,acousticguitar_violin:6|ambulance_firetruck:4|cucumber_zucchini:1
ajar,449,48,ambulance_firetruck:7|hotpot_vase:41
akron,450,16,ambulance_firetruck:16
al95,451,33,ambulance_firetruck:33
alabama,452,34,ambulance_firetruck:34
alameda,453,26,ambulance_firetruck:26
alarm,454,12,ambulance_firetruck:6|hotpot_vase:6
alaska,455,74,acousticguitar_violin:7|cucumber_zucchini:67
alaska-grown,456,3,cucumber_zucchini:3
alaskan,457,31,acousticguitar_violin:18|cucumber_zucchini:13
alberta-grown,458,24,cucumber_zucchini:24
albion,459,12,ambulance_firetruck:12
alboquerque,460,1,ambulance_firetruck:1
album,461,129,acousticguitar_violin:124|hotpot_vase:5
albums,462,8,acousticguitar_violin:8
albuquerqu,463,3,ambulance_firetruck:3
albuquerque,464,50,ambulance_firetruck:50
aldi,465,33,ambulance_firetruck:33
alert,466,275,acousticguitar_violin:2|ambulance_firetruck:10|ant_bee:248|cucumber_zucchini:3|hotpot_vase:12
alibaba,467,62,hotpot_vase:62
alibaba-listed,468,1,hotpot_vase:1
aligned,469,78,acousticguitar_violin:31|ambulance_firetruck:5|ant_bee:1|cucumber_zucchini:40|hotpot_vase:1
alive,470,18,acousticguitar_violin:2|ant_bee:16
all,471,1341,acousticguitar_violin:395|ambulance_firetruck:31|ant_bee:37|cucumber_zucchini:554|hotpot_vase:324
all'oncologia,472,30,ambulance_firetruck:30
all-star,473,9,acousticguitar_violin:9
allaccia,474,13,ambulance_firetruck:13
allen,475,59,acousticguitar_violin:18|ambulance_firetruck:41
alley,476,133,acousticguitar_violin:4|ambulance_firetruck:122|cucumber_zucchini:7
alleyway,477,32,acousticguitar_violin:4|ambulance_firetruck:23|ant_bee:1|cucumber_zucchini:4
allfloridabeeremoval.com,478,18,ant_bee:18
allium,479,9,ant_bee:9
almonds,480,40,cucumber_zucchini:40
aloft,481,13,acousticguitar_violin:10|cucumber_zucchini:3
alone,482,77,acousticguitar_violin:18|ambulance_firetruck:4|ant_bee:26|cucumber_zucchini:20|hotpot_vase:9
along,483,4137,acousticguitar_violin:301|ambulance_firetruck:1049|ant_bee:2620|cucumber_zucchini:114|hotpot_vase:53
alongside,484,1835,acousticguitar_violin:233|ambulance_firetruck:332|ant_bee:17|cucumber_zucchini:612|hotpot_vase:641
alouettes,485,18,ambulance_firetruck:18
alpha,486,31,ambulance_firetruck:31
also,487,151,acousticguitar_violin:83|ambulance_firetruck:25|ant_bee:18|cucumber_zucchini:20|hotpot_vase:5
alstead,488,28,ambulance_firetruck:28
altar,489,44,acousticguitar_violin:4|hotpot_vase:40
altarpiece,490,1,hotpot_vase:1
alternatively,491,2,acousticguitar_violin:1|cucumber_zucchini:1
alto,492,40,ambulance_firetruck:40
alvarez,493,39,acousticguitar_violin:39
amariello,494,2,ambulance_firetruck:2
amarillo,495,87,ambulance_firetruck:87
amazed,496,10,cucumber_zucchini:10
amazing,497,23,acousticguitar_violin:23
amb,498,21,ambulance_firetruck:21
amber,499,3885,acousticguitar_violin:2278|ambulance_firetruck:93|ant_bee:962|cucumber_zucchini:16|hotpot_vase:536
